Buy?,Seed Company,Plant,Name,Location,Type,Priority,Days to maturity,Min DTM,Max DTM,Maturity from (Sowing v Transplant),Frost tolerant?,Height,Where to sow,When to sow weeks w.r.t last frost,When to transplant w.r.t last frost,Notes
FALSE,Baker Creek Seeds,"Pepper, Hot",Black Hungarian Pepper,bed,"hot, black",2,75,75,,T,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Sweet",Violet Sparkle,"bed, bag",small purple,2,75,75,,T,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Sweet",Blot Pepper,"bed, bag","orange, purple",2,70,70,,T,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Sweet",Lesya Pepper,"bed, bag",red,2,75,75,,T,N,,,,,
TRUE,Baker Creek Seeds,"Pepper, Sweet",Giant Aconcagua,"bed, bag","orange, 12in",3,75,75,,T,N,3ft,,,,
FALSE,Baker Creek Seeds,"Pepper, Sweet",Sweet Habanada,"bed, bag",,3,80,80,,T,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Sweet",Etiuda Pepper,"bed, bag","orange, citrus",2,,,,T,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Sweet",Paradicsom Alaku,"bed, bag","yellow, flat",2,80,80,,T,N,,,,,
FALSE,Baker Creek Seeds,"Tomato, Roma",Pink Fang,"bed, bag",indeterminate,2,70-75,70,75,T,N,,,,,
FALSE,Baker Creek Seeds,"Flower, Snapdragon",Bizzare Mix,"bed, fence","pink, orange, yellow",3,110,110,,T,N,,,,,
FALSE,Baker Creek Seeds,"Flower, Snapdragon",Bronze Dragon,"bed, fence",purple,2,100-120,100,120,T,N,12-16in,,,,
TRUE,Baker Creek Seeds,"Flower, Sunflower",Arikara,compost,"yellow, heirloom",3,,,,S,N,10ft,,,,
TRUE,Baker Creek Seeds,"Flower, Sunflower",Chocolate Cherry,compost,"red, purple",3,,,,S,N,6-7ft,,,,
TRUE,Baker Creek Seeds,"Flower, Sunflower",Hopi Back Dye,compost,"green, yellow",3,,,,S,N,8ft,,,,
TRUE,Baker Creek Seeds,"Flower, Sunflower",Mongolian Giant,compost,yellow,3,,,,S,N,14ft,,,,
TRUE,Baker Creek Seeds,"Flower, Sunflower",Titan,compost,yellow,2,,,,S,N,,,,,
TRUE,Baker Creek Seeds,"Flower, Sunflower",Mammoth Grey Striped,compost,yellow,3,,,,S,N,10ft,,,,
FALSE,Baker Creek Seeds,"Flower, Sunflower",Short Stuff,compost,yellow,2,,,,S,N,2.5ft,,,,
FALSE,Baker Creek Seeds,Watermelon,Kaho,bed,"orange, 2-4lb",2,75,75,,T,N,,,,,
TRUE,Baker Creek Seeds,Watermelon,Early Girl,bed,"red, 1-4lb",3,65,65,,T,N,,,,,
TRUE,Baker Creek Seeds,Watermelon,Lemon Drop,bed,"yellow, 1-2lb",3,70,70,,T,N,,,,,
FALSE,Botanical Interests,Brussels Sprout,Silvia F1,bag,,3,103,103,,T,Y,,inside,May,,Sow 4 months before fall frost
FALSE,Botanical Interests,Cucumber,Quick Snack,"bed, bag",mini-indoor,2,38-45,38,45,S,N,,inside,,,
TRUE,Botanical Interests,"Pepper, Sweet",Candy Cane Chocolate Cherry,"bed, bag",,3,70-75,70,75,T,N,,inside,,,
FALSE,Botanical Interests,"Squash, Summer",Chifon,bag,bush,3,42,42,,S,N,,outside,,,
TRUE,Botanical Interests,"Tomato, Roma",Supremo,"bed, bag",bush,3,68,68,,T,N,,inside,,,
FALSE,Botanical Interests,"Flower, Black-eyed Susan",Cherry Brandy,"bed, fence",,2,,,,,N,20-24in,inside,,,
FALSE,Botanical Interests,"Flower, Black-eyed Susan",Cherokee Sunset,"bed, fence",,2,,,,,N,24-30in,,,,
TRUE,Botanical Interests,Tools,15G grow bag,,,,,,,,,,,,,
TRUE,Botanical Interests,Supplies,desk calendar,,,,,,,,,,,,,
TRUE,Row 7,Leeks,Sweet Garleek F1,bed,,3,95-110,95,110,,,,,,,
TRUE,Row 7,"Tomato, Roma",Midnight Roma,"bed, bag",,3,,,,,,,,,,
